Brand;Movement;Case material;Bracelet material;Year of production;Condition;Scope of delivery;Gender;Price;Availability;Shape;Face Area;Water resistance;Crystal;Dial;Bracelet color;Clasp;Watches Sold by the Seller;Active listing of the seller;Fast Shipper;Trusted Seller;Punctuality;Seller Reviews
Bremont;Automatic;Steel;Textile;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;2917.0;Item is in stock;Circular;692.37;;;Black;Blue;Buckle;114.0;137.0;0;1;1;92.0
Chaumet;Quartz;Steel;Steel;;Like new & unworn;Original box, no original papers;Men's watch/Unisex;3293.0;Item needs to be procured;Circular;181.43312500000002;;;Silver;;;439.0;2394.0;0;1;1;320.0
Piaget;Automatic;Yellow gold;Yellow gold;;Used (Good);No original box, no original papers;Women's watch;15999.0;Item is in stock;;;;;Blue;;;295.0;39.0;1;1;1;230.0
Steinhart;Automatic;Steel;Steel;2016.0;Used (Good);No original box, no original papers;Men's watch/Unisex;324.0;Item is in stock;Rectangular;546.0;;;Black;Steel;;;;0;0;0;
Eberhard & Co.;Automatic;Steel;;2016.0;Used (Very good);Original box, original papers;;3446.0;Item is in stock;Circular;659.7925;;;;;;75.0;20.0;1;1;1;62.0
Breguet;Automatic;White gold;Crocodile skin;2024.0;New;Original box, original papers;Men's watch/Unisex;35000.0;Item is in stock;Circular;628.0;3.0;Sapphire crystal;Blue;Blue;Buckle;1604.0;1677.0;1;1;1;1147.0
Michael Kors;Quartz;Steel;Steel;;Used (Good);No original box, no original papers;Men's watch/Unisex;128.0;Item is in stock;Rectangular;559.0;10.0;;;Silver;Fold clasp, hidden;;;0;0;0;
Glycine;Automatic;Steel;Leather;2000.0;Used (Good);No original box, no original papers;Men's watch/Unisex;485.0;Item is in stock;Circular;628.0;5.0;;Black;Black;;;;0;0;0;
Sandoz;Quartz;;;2012.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;681.0;Item is in stock;Rectangular;445.0;;;;;;;;0;0;0;
Michel Herbelin;;;;;New;Original box, original papers;Women's watch;593.0;Item needs to be procured;;;5.0;Sapphire crystal;;;;2328.0;2505.0;0;1;1;1742.0
Gucci;Quartz;Steel;Rubber;2019.0;Used (Good);Original box, original papers;Men's watch/Unisex;390.0;Item is in stock;Circular;794.8125;;;Black;Black;;37.0;195.0;1;1;1;26.0
Girard Perregaux;;;;;Used (Very good);No original box, no original papers;Men's watch/Unisex;14175.0;Item needs to be procured;Rectangular;1037.5;;;;;;777.0;980.0;1;1;1;524.0
Philip Watch;Automatic;;Leather;2002.0;Used (Very good);Original box, original papers;Men's watch/Unisex;702.0;Item is in stock;Circular;659.7925;;;;Brown;;;;0;0;0;
Squale;Automatic;Steel;Rubber;2024.0;New;Original box, original papers;Men's watch/Unisex;1457.0;Item is in stock;Circular;759.88;60.0;Sapphire crystal;Black;;;4592.0;517.0;1;1;1;3952.0
Ingersoll;Automatic;Steel;Gold-plated;;Used (Good);Original box, no original papers;Men's watch/Unisex;370.0;Item is in stock;Circular;794.8125;;;;Black;Buckle;;;0;0;0;
Zeno-Watch Basel;Automatic;Steel;Leather;2020.0;New;Original box, original papers;Men's watch/Unisex;1602.0;Item is in stock;Circular;867.0325;;Sapphire crystal;Black;Black;Buckle;2028.0;450.0;0;1;1;1396.0
;;;;;;;;;;;;;;;;;;;0;0;0;
Citizen;Quartz;;;2021.0;New;Original box, original papers;Men's watch/Unisex;1499.0;Item is in stock;;;;;;;;733.0;404.0;1;0;1;440.0
Locman;Quartz;Titanium;Rubber;2016.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;270.0;Item is in stock;Circular;759.88;;;Grey;Black;;;;0;0;0;
Elgin;Automatic;Steel;Steel;1970.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;1150.0;Item is in stock;Circular;725.7325000000001;;;Silver;Steel;Fold clasp;94.0;89.0;0;1;1;69.0
Doxa;Automatic;Steel;Rubber;2024.0;New;Original box, original papers;Men's watch/Unisex;1675.0;Item is in stock;Rectangular;1618.5;20.0;Sapphire crystal;White;White;Fold clasp, hidden;357.0;206.0;1;0;1;311.0
Tecnotempo;Automatic;;Leather;2023.0;Used (Very good);Original box, original papers;Men's watch/Unisex;508.0;Item is in stock;Rectangular;560.0;;;;Black;;;;0;0;0;
Orient;Automatic;Steel;Steel;;Used (Very good);No original box, no original papers;Men's watch/Unisex;70.0;Item is in stock;Rectangular;1476.0;;;;Steel;;;;0;0;0;
Hanhart;Manual winding;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;2334.0;Item needs to be procured;Rectangular;2089.5;10.0;Sapphire crystal;Black;Steel;Fold clasp;1072.0;1397.0;1;1;1;940.0
Cartier;Automatic;Steel;Rubber;2019.0;Used (Very good);Original box, original papers;Men's watch/Unisex;7100.0;Item is in stock;Circular;735.8943249999999;10.0;Sapphire crystal;White;Black;Fold clasp;31.0;125.0;0;1;1;21.0
Revue Thommen;Automatic;Steel;;;Like new & unworn;Original box, no original papers;Men's watch/Unisex;631.0;Item is in stock;;;30.0;Sapphire crystal;Black;Black;;1369.0;897.0;1;0;1;939.0
Lorenz;Quartz;Yellow gold;Leather;1990.0;Used (Very good);No original box, no original papers;;1296.0;Item is in stock;Circular;480.8125;;;;;;203.0;144.0;0;1;1;145.0
Doxa;;;;;;Original papers, no original box;;3495.0;Item is in stock;;;120.0;Sapphire crystal;Blue;;;615.0;417.0;1;0;1;527.0
Maurice Lacroix;Automatic;Titanium;;;Used (Very good);Original box, original papers;Men's watch/Unisex;4950.0;Item is in stock;Circular;830.5300000000001;;;Black;;;;;0;0;0;
Zenith;Automatic;Rose gold;;;Used (Very good);Original box, original papers;Men's watch/Unisex;7800.0;Item is in stock;Circular;759.88;5.0;Sapphire crystal;;;;2038.0;293.0;1;1;1;1659.0
Giuliano Mazzuoli;;;;;Like new & unworn;Original box, original papers;Men's watch/Unisex;3889.0;Item is in stock;Circular;794.8125;;Sapphire crystal;Silver;;;;;0;0;0;
TAG Heuer;Automatic;Steel;Rubber;2023.0;Used (Very good);Original box, original papers;Men's watch/Unisex;5195.0;Item is in stock;Circular;759.88;10.0;Sapphire crystal;Green;;Fold clasp;212.0;54.0;1;0;1;170.0
Union Glashütte;Automatic;Steel;Textile;2024.0;;Original box, original papers;Men's watch/Unisex;3111.0;Item available on request;Circular;725.7325000000001;20.0;Sapphire crystal;Blue;;Double-fold clasp;12531.0;5532.0;1;1;1;7852.0
Erwin Sattler;;;;;New;Original papers, no original box;;12251.0;Item is in stock;;;;;;;;137.0;20.0;1;0;1;100.0
Armin Strom;Manual winding;Steel;Leather;;Used (Good);No original box, no original papers;Men's watch/Unisex;5051.0;Item is in stock;Circular;848.683125;;;Black;Brown;Fold clasp;19.0;342.0;0;0;1;20.0
Timex;;;;1973.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;270.0;Item is in stock;Rectangular;1520.0;;;;;;;;0;0;0;
Universal Genève;Manual winding;Red gold;Leather;1950.0;Used (Very good);No original box, no original papers;;6428.0;Item is in stock;Circular;467.173125;;;Silver;;;158.0;234.0;1;1;1;118.0
Beuchat;Quartz;;;1990.0;Used (Fair);No original box, no original papers;Men's watch/Unisex;994.0;Item is in stock;Circular;628.0;;;;;;;;0;0;0;
Harry Winston;Automatic;Rose gold;Crocodile skin;;New;Original box, original papers;Women's watch;44186.0;Item is in stock;;;;;Mother of pearl;;;50.0;41.0;0;1;1;45.0
