Brand;Movement;Case material;Bracelet material;Year of production;Condition;Scope of delivery;Gender;Price;Availability;Shape;Face Area;Water resistance;Crystal;Dial;Bracelet color;Clasp;Watches Sold by the Seller;Active listing of the seller;Fast Shipper;Trusted Seller;Punctuality;Seller Reviews
;;;;;;;;;;;;;;;;;;;0;0;0;
Boucheron;Quartz;Rose gold;;;New;Original box, original papers;Women's watch;3157.0;Item is in stock;Circular;127.17;5.0;;Mother of pearl;;;1044.0;5487.0;0;1;1;849.0
Boucheron;Automatic;Steel;;;New;Original box, original papers;Men's watch/Unisex;1233.0;Item is in stock;Circular;566.77;5.0;;Black;;;1044.0;5487.0;0;1;1;849.0
Boucheron;Automatic;Steel;;;Used (Very good);No original box, no original papers;;1196.0;Item needs to be procured;Circular;692.37;;;Black;Black;;591.0;620.0;0;1;1;413.0
Boucheron;Automatic;Steel;Leather;;Used (Fair);Original box, original papers;Men's watch/Unisex;946.0;Item is in stock;Circular;692.37;;;Black;;;17947.0;11728.0;1;1;1;12572.0
Boucheron;Quartz;Steel;Leather;2000.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;754.0;Item is in stock;Circular;537.3325;10.0;Sapphire crystal;Blue;Brown;;;;0;0;0;
Boucheron;Automatic;Yellow gold;Crocodile skin;;New;Original box, original papers;Men's watch/Unisex;8481.0;Item is in stock;Circular;480.8125;;Sapphire crystal;White;Black;Fold clasp, hidden;363.0;89.0;1;1;1;253.0
Boucheron;Quartz;Yellow gold;Yellow gold;;Used (Very good);No original box, no original papers;Women's watch;10075.0;Item is in stock;Circular;453.73;;Sapphire crystal;Gold;Gold;Fold clasp;814.0;774.0;1;1;1;642.0
Boucheron;Automatic;Rose gold;Crocodile skin;2024.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;;Item available on request;Circular;566.77;3.0;Sapphire crystal;White;Brown;Buckle;430.0;3931.0;0;0;1;318.0
Boucheron;Automatic;White gold;Crocodile skin;;Like new & unworn;Original box, original papers;Men's watch/Unisex;19343.0;Item needs to be procured;;;;;;;;41.0;218.0;0;1;1;32.0
Boucheron;Quartz;Yellow gold;Leather;2000.0;Used (Good);No original box, no original papers;Women's watch;2950.0;Item is in stock;Rectangular;1080.0;;;Gold;Black;Jewelry clasp;95.0;90.0;0;1;1;69.0
;;;;;;;;;;;;;;;;;;;0;0;0;
Boucheron;Quartz;Yellow gold;Yellow gold;;Used (Very good);No original box, no original papers;;5169.0;Item is in stock;;;;;Yellow;;;59.0;16.0;0;1;1;47.0
Boucheron;Automatic;Rose gold;Crocodile skin;2024.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;;Item available on request;Rectangular;1008.0;3.0;Sapphire crystal;White;Black;Fold clasp, hidden;430.0;3931.0;0;0;1;318.0
Boucheron;Quartz;Yellow gold;Leather;2001.0;Used (Very good);No original box, no original papers;Women's watch;5800.0;Item is in stock;Circular;508.68;9.0;Plexiglass;Blue;Brown;Buckle;76.0;112.0;0;1;1;38.0
Boucheron;Automatic;Steel;Crocodile skin;;Used (Very good);No original box, no original papers;;3123.0;Item is in stock;Rectangular;1452.0;;Sapphire crystal;Black;Black;Jewelry clasp;1306.0;392.0;0;1;1;878.0
Boucheron;Quartz;Yellow gold;Yellow gold;1990.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;6857.0;Item is in stock;Circular;353.25;;;Gold;Gold;;584.0;130.0;1;1;1;415.0
Boucheron;Automatic;Steel;Leather;2008.0;Used (Good);Original box, original papers;Women's watch;6847.0;Item is in stock;;;;;Black;;;83.0;28.0;1;1;1;70.0
Boucheron;Quartz;Yellow gold;Leather;;Used (Very good);No original box, no original papers;Women's watch;9255.0;Item is in stock;Circular;127.17;;Sapphire crystal;Mother of pearl;White;Buckle;814.0;774.0;1;1;1;642.0
Boucheron;Automatic;Steel;;;Used (Fair);No original box, no original papers;Men's watch/Unisex;1679.0;Item is in stock;Rectangular;1440.0;;;Silver;;;179.0;101.0;1;1;1;139.0
Boucheron;Quartz;White gold;Crocodile skin;2000.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;3549.0;Item is in stock;Circular;207.63250000000002;;Glass;White;Black;Buckle;41.0;13.0;0;1;1;38.0
Boucheron;Manual winding;Yellow gold;Yellow gold;1942.0;Used (Very good);No original box, no original papers;Women's watch;16130.0;Item is in stock;;;;Glass;Gold;;;3.0;16.0;0;1;1;
Boucheron;Quartz;Yellow gold;Leather;;Used (Very good);No original box, no original papers;Men's watch/Unisex;3942.0;Item is in stock;;;;Mineral Glass;Gold;Black;;326.0;537.0;1;1;1;196.0
Boucheron;Quartz;;Gold/Steel;;Used (Very good);No original box, no original papers;Women's watch;2262.0;Item is in stock;;;;Sapphire crystal;;Black;;90.0;265.0;0;0;1;53.0
Boucheron;Quartz;Steel;Steel;;Used (Very good);No original box, no original papers;;2423.0;Item is in stock;;;;Sapphire crystal;Silver;Steel;;90.0;265.0;0;0;1;53.0
Boucheron;Quartz;Yellow gold;Leather;1998.0;Used (Very good);No original box, no original papers;Women's watch;6246.0;Item is in stock;;;;Sapphire crystal;;;;90.0;265.0;0;0;1;53.0
Boucheron;Quartz;Yellow gold;Leather;;Used (Very good);No original box, no original papers;Women's watch;6246.0;Item is in stock;;;;Sapphire crystal;;Orange;;90.0;265.0;0;0;1;53.0
Boucheron;Manual winding;Rose gold;;1960.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;5551.0;Item is in stock;Circular;157.0;;;;;;1569.0;596.0;0;1;1;1219.0
Boucheron;Quartz;Gold-plated;Crocodile skin;;Used (Good);No original box, no original papers;Men's watch/Unisex;1448.0;Item is in stock;Circular;596.9925000000001;;;Silver;Black;;;;0;0;0;
Boucheron;Quartz;Steel;Leather;1999.0;Used (Very good);Original box, original papers;Women's watch;1800.0;Item is in stock;Rectangular;531.0;;;White;Black;;;;0;0;0;
Boucheron;Quartz;Steel;Ostrich skin;;Used (Incomplete);Original box, no original papers;Women's watch;753.0;Item is in stock;;;;;Champagne;Bronze;Jewelry clasp;106.0;20.0;1;1;1;82.0
;;;;;;;;;;;;;;;;;;;0;0;0;
Boucheron;Quartz;Steel;;;Used (Very good);No original box, no original papers;Women's watch;1885.0;Item is in stock;Circular;566.77;;Sapphire crystal;Mother of pearl;Blue;Buckle;90.0;265.0;0;0;1;53.0
Boucheron;Automatic;Steel;Leather;2016.0;Used (Very good);No original box, no original papers;;1928.0;Item is in stock;Circular;566.77;;Sapphire crystal;White;;;344.0;94.0;1;1;1;282.0
Boucheron;;Yellow gold;;;Used (Good);Original box, original papers;Women's watch;12721.0;Item needs to be procured;Circular;127.17;;;Mother of pearl;;;128.0;191.0;0;1;1;89.0
Boucheron;Manual winding;Yellow gold;Yellow gold;;Used (Very good);No original box, no original papers;Women's watch;12342.0;Item is in stock;Circular;226.08;;Sapphire crystal;Champagne;;;242.0;428.0;0;1;1;157.0
Boucheron;Automatic;Yellow gold;Crocodile skin;;Used (Very good);No original box, no original papers;Men's watch/Unisex;6320.0;Item is in stock;;;;;White;;;1024.0;2621.0;0;1;1;866.0
Bovet;Automatic;Rose gold;Crocodile skin;2005.0;Used (Very good);Original papers, no original box;Men's watch/Unisex;25186.0;Item is in stock;Rectangular;390.0;30.0;Sapphire crystal;Mother of pearl;Black;Double-fold clasp;;;0;0;0;
Bovet;Automatic;Steel;;;Used (Good);No original box, no original papers;;3681.0;Item needs to be procured;Circular;628.0;;;Black;Black;;1111.0;200.0;0;1;1;857.0
Bovet;Automatic;Steel;;;Used (Good);No original box, no original papers;;4016.0;Item needs to be procured;Circular;628.0;;;Black;Blue;;591.0;620.0;0;1;1;413.0
Bovet;Automatic;Rose gold;Leather;;Used (Good);Original box, original papers;Men's watch/Unisex;23000.0;Item is in stock;Circular;692.37;;;Black;Black;;;;0;0;0;
Bovet;Manual winding;;;1940.0;Used (Fair);No original box, no original papers;Men's watch/Unisex;1306.0;Item is in stock;Rectangular;1221.0;;;;;;;;0;0;0;
Bovet;Manual winding;;Leather;;Used (Good);Original papers, no original box;Men's watch/Unisex;25309.0;Item needs to be procured;;;3.0;Sapphire crystal;;;;118.0;1381.0;1;1;1;116.0
Bovet;Automatic;;;;Like new & unworn;Original box, original papers;Men's watch/Unisex;13462.0;Item is in stock;Circular;692.37;;;;;;;;0;0;0;
Bovet;Manual winding;Steel;Leather;2023.0;Used (Very good);Original box, original papers;Men's watch/Unisex;15955.0;Item is in stock;Circular;692.37;3.0;Sapphire crystal;Black;Black;Buckle;413.0;67.0;1;1;1;311.0
Bovet;Manual winding;Steel;;;Used (Good);Original box, original papers;Men's watch/Unisex;19000.0;Item needs to be procured;Circular;692.37;;Sapphire crystal;Yellow;Black;Buckle;73.0;1033.0;0;1;1;56.0
Bovet;Manual winding;;Leather;2021.0;New;Original box, original papers;Men's watch/Unisex;;Item available on request;Circular;692.37;;Sapphire crystal;Yellow;Black;;212.0;905.0;0;0;1;189.0
Bovet;Manual winding;Steel;Crocodile skin;;New;Original box, original papers;Men's watch/Unisex;25600.0;Item needs to be procured;Circular;692.37;3.0;;Black;Black;Buckle;416.0;1184.0;1;1;1;278.0
Bovet;Manual winding;Steel;Crocodile skin;;New;Original box, original papers;Men's watch/Unisex;29670.0;Item needs to be procured;Circular;692.37;3.0;Sapphire crystal;Black;Black;Buckle;416.0;1184.0;1;1;1;278.0
Bovet;Manual winding;Steel;Crocodile skin;;New;Original box, original papers;Men's watch/Unisex;23941.0;Item is in stock;Circular;692.37;3.0;Sapphire crystal;Red;Red;Buckle;1268.0;2563.0;1;1;1;752.0
Bovet;Manual winding;Red gold;Crocodile skin;;New;Original box, original papers;Men's watch/Unisex;43520.0;Item needs to be procured;Circular;692.37;3.0;Sapphire crystal;Blue;Blue;Buckle;1268.0;2563.0;1;1;1;752.0
Bovet;Automatic;;Leather;;Used (Very good);Original papers, no original box;Men's watch/Unisex;15078.0;Item needs to be procured;Rectangular;1848.0;3.0;Sapphire crystal;;;;118.0;1381.0;1;1;1;116.0
Bovet;Automatic;Steel;Rubber;2016.0;Used (Very good);Original box, original papers;Men's watch/Unisex;22246.0;Item is in stock;Circular;794.8125;;;Black;Black;Buckle;167.0;184.0;1;1;1;117.0
Bovet;Automatic;Steel;Crocodile skin;;New;Original box, original papers;Women's watch;26612.0;Item is in stock;Circular;508.68;3.0;Sapphire crystal;Green;Green;Buckle;416.0;1184.0;1;1;1;278.0
Bovet;Automatic;Rose gold;Leather;;Used (Very good);Original box, no original papers;Men's watch/Unisex;16908.0;Item needs to be procured;Circular;725.7325000000001;;;Brown;;;924.0;3450.0;1;1;1;790.0
Bovet;Automatic;White gold;Leather;;Used (Very good);Original box, original papers;Men's watch/Unisex;16300.0;Item needs to be procured;Circular;725.7325000000001;3.0;Sapphire crystal;Brown;Brown;Buckle;90.0;677.0;0;1;1;69.0
Bovet;Manual winding;White gold;Lizard skin;2006.0;Used (Very good);Original box, original papers;Men's watch/Unisex;58700.0;Item is in stock;Circular;596.9925000000001;3.0;Sapphire crystal;Silver;Black;Double-fold clasp;239.0;310.0;1;0;1;189.0
Bovet;Automatic;Rose gold;Leather;;Used (Very good);No original box, no original papers;Men's watch/Unisex;15939.0;Item needs to be procured;Circular;692.37;;;White;;;924.0;3450.0;1;1;1;790.0
Bovet;;Red gold;Crocodile skin;2013.0;Used (Very good);Original box, original papers;;15616.0;Item is in stock;Circular;692.37;;;;;;28.0;42.0;1;1;1;22.0
Bovet;Manual winding;;Leather;;Used (Very good);No original box, no original papers;Men's watch/Unisex;52018.0;Item needs to be procured;Circular;596.9925000000001;3.0;Sapphire crystal;;;;118.0;1381.0;1;1;1;116.0
Bovet;;Rose gold;Rubber;2013.0;Used (Very good);Original box, original papers;Men's watch/Unisex;101235.0;Item needs to be procured;Circular;794.8125;;;Skeletonized;;;924.0;3450.0;1;1;1;790.0
Bovet;Manual winding;White gold;Leather;;Used (Very good);Original box, original papers;Men's watch/Unisex;42433.0;Item needs to be procured;Circular;759.88;;;Black;;;924.0;3450.0;1;1;1;790.0
Bovet;Manual winding;Steel;Textile;1940.0;Used (Fair);No original box, no original papers;Men's watch/Unisex;12385.0;Item is in stock;Circular;566.77;;Plexiglass;Grey;Black;Buckle;167.0;23.0;0;1;1;139.0
Bovet;Automatic;Steel;Rubber;2012.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;12800.0;Item is in stock;;;;;Black;;;8.0;42.0;0;1;1;3.0
Bovet;Automatic;White gold;Leather;;Used (Very good);Original box, original papers;Men's watch/Unisex;13354.0;Item needs to be procured;Circular;628.0;;;Black;;;924.0;3450.0;1;1;1;790.0
Bovet;Automatic;Steel;Leather;;Used (Very good);Original papers, no original box;Men's watch/Unisex;9693.0;Item needs to be procured;Rectangular;1760.0;;Sapphire crystal;;;;118.0;1381.0;1;1;1;116.0
Bovet;Automatic;Rose gold;Crocodile skin;;New;Original box, original papers;Women's watch;;Item needs to be procured;Circular;401.92;3.0;Sapphire crystal;Mother of pearl;Black;Buckle;1268.0;2563.0;1;1;1;752.0
Bovet;Automatic;Steel;Leather;1950.0;Used (Good);No original box, no original papers;Men's watch/Unisex;3123.0;Item is in stock;Circular;508.68;;Plexiglass;Black;;;150.0;100.0;1;1;1;131.0
Bovet;Automatic;Steel;Rubber;;Like new & unworn;Original box, original papers;Men's watch/Unisex;20355.0;Item is in stock;Circular;794.8125;;Sapphire crystal;Black;Black;Buckle;14.0;77.0;0;1;1;14.0
Bovet;Manual winding;Rose gold;Leather;;Used (Very good);No original box, no original papers;Men's watch/Unisex;93030.0;Item needs to be procured;Circular;794.8125;;;;Black;Buckle;448.0;2437.0;0;1;1;325.0
Bovet;Automatic;Rose gold;Leather;;Used (Very good);No original box, no original papers;Men's watch/Unisex;92036.0;Item available on request;;;;;Skeletonized;;;173.0;156.0;0;0;1;154.0
Bovet;Manual winding;Rose gold;Crocodile skin;;Like new & unworn;Original box, original papers;Men's watch/Unisex;;Item available on request;;;;;Blue;;;173.0;156.0;0;0;1;154.0
Bovet;Automatic;Steel;Satin;;New;Original box, original papers;Women's watch;19805.0;Item needs to be procured;Rectangular;1086.78;3.0;Sapphire crystal;Mother of pearl;Grey;Buckle;416.0;1184.0;1;1;1;278.0
Bovet;Automatic;Steel;Textile;;New;Original box, original papers;Women's watch;19805.0;Item needs to be procured;Rectangular;1086.78;3.0;Sapphire crystal;Blue;Blue;Buckle;416.0;1184.0;1;1;1;278.0
Bovet;Quartz;White gold;Crocodile skin;;Used (Good);Original box, no original papers;Women's watch;9316.0;Item is in stock;Circular;453.73;3.0;Sapphire crystal;Mother of pearl;Pink;Buckle;779.0;365.0;1;1;1;620.0
Bovet;Automatic;White gold;Crocodile skin;;Like new & unworn;Original box, original papers;Men's watch/Unisex;58027.0;Item is in stock;Circular;830.5300000000001;;;Black;Black;Buckle;14.0;77.0;0;1;1;14.0
Bovet;;Rose gold;Crocodile skin;;Used (Very good);Original papers, no original box;Men's watch/Unisex;96741.0;Item needs to be procured;Circular;566.77;;;;Black;Buckle;448.0;2437.0;0;1;1;325.0
Bovet;Manual winding;Steel;Steel;1944.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;1580.0;Item is in stock;Rectangular;1216.0;;Sapphire crystal;Champagne;Silver;No clasp;180.0;220.0;0;1;1;117.0
Bovet;Manual winding;Rose gold;Crocodile skin;;New;Original box, original papers;Men's watch/Unisex;66481.0;Item needs to be procured;Circular;692.37;3.0;Sapphire crystal;White;Blue;Buckle;1268.0;2563.0;1;1;1;752.0
Bovet;Manual winding;Rose gold;Crocodile skin;;New;Original box, original papers;Men's watch/Unisex;56121.0;Item needs to be procured;Circular;692.37;3.0;Sapphire crystal;White;Blue;Buckle;416.0;1184.0;1;1;1;278.0
Bovet;Manual winding;Titanium;;;Used (Good);Original box, original papers;Men's watch/Unisex;98000.0;Item needs to be procured;Circular;759.88;;Sapphire crystal;Black;Black;Buckle;73.0;1033.0;0;1;1;56.0
Bovet;Manual winding;Rose gold;Crocodile skin;;Like new & unworn;Original box, original papers;Men's watch/Unisex;;Item available on request;;;;;Blue;;;173.0;156.0;0;0;1;154.0
Bovet;Manual winding;Rose gold;Crocodile skin;;Like new & unworn;Original box, original papers;Men's watch/Unisex;275000.0;Item needs to be procured;Circular;841.3983249999999;3.0;Sapphire crystal;;Blue;;191.0;130.0;1;1;1;162.0
Bovet;Automatic;Rose gold;Leather;;Used (Very good);No original box, no original papers;Men's watch/Unisex;10417.0;Item needs to be procured;Circular;596.9925000000001;;;White;;Fold clasp;448.0;2437.0;0;1;1;325.0
Bovet;Automatic;Steel;Leather;;Like new & unworn;Original box, original papers;Men's watch/Unisex;30047.0;Item is in stock;;;;;Blue;;;51.0;43.0;0;1;1;45.0
Bovet;Automatic;Steel;Rubber;;Used (Very good);No original box, no original papers;Men's watch/Unisex;9585.0;Item needs to be procured;Circular;830.5300000000001;30.0;Sapphire crystal;Blue;;;118.0;1381.0;1;1;1;116.0
Bovet;Automatic;Steel;Crocodile skin;;New;Original box, original papers;Women's watch;31426.0;Item needs to be procured;Circular;508.68;3.0;Sapphire crystal;Blue;White;Buckle;1268.0;2563.0;1;1;1;752.0
Bovet;Automatic;White gold;Crocodile skin;;Used (Very good);No original box, no original papers;Men's watch/Unisex;;Item needs to be procured;;;;;Mother of pearl;;;173.0;156.0;0;0;1;154.0
Bovet;Automatic;White gold;;;Used (Very good);Original box, original papers;Men's watch/Unisex;19779.0;Item needs to be procured;;;;;Black;;;2.0;232.0;0;1;1;
Bovet;Automatic;White gold;Crocodile skin;;Used (Very good);No original box, no original papers;Men's watch/Unisex;22257.0;Item needs to be procured;Circular;628.0;;;White;;Buckle;448.0;2437.0;0;1;1;325.0
Bovet;Manual winding;Platinum;Alligator skin;;Used (Very good);Original box, original papers;Men's watch/Unisex;39890.0;Item is in stock;Circular;830.5300000000001;;Sapphire crystal;;Black;Fold clasp;284.0;249.0;1;1;1;213.0
Bovet;Manual winding;Rose gold;Crocodile skin;2016.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;24770.0;Item is in stock;Circular;692.37;;;Black;Black;;;;0;0;0;
Bovet;Automatic;Rose gold;Alligator skin;2008.0;Like new & unworn;Original box, no original papers;Men's watch/Unisex;91403.0;Item is in stock;Circular;904.32;;;Gold (solid);Black;;;;0;0;0;
Bovet;Manual winding;White gold;;2010.0;Used (Good);Original papers, no original box;Men's watch/Unisex;75388.0;Item is in stock;Circular;830.5300000000001;;;;;;;;0;0;0;
Bovet;Automatic;White gold;Alligator skin;;Used (Very good);Original box, original papers;Men's watch/Unisex;89950.0;Item is in stock;Circular;759.88;;Sapphire crystal;Blue;Black;Buckle;3090.0;1592.0;0;1;1;2340.0
Bovet;Automatic;Rose gold;Leather;2013.0;Used (Very good);Original box, original papers;Men's watch/Unisex;36078.0;Item is in stock;Circular;596.9925000000001;;;;;;56.0;24.0;0;0;1;47.0
Bovet;Manual winding;Rose gold;Alligator skin;;Used (Very good);Original box, original papers;Men's watch/Unisex;199000.0;Item is in stock;Circular;830.5300000000001;;Sapphire crystal;;Brown;Fold clasp;284.0;249.0;1;1;1;213.0
Bovet;Manual winding;Steel;Plastic;1939.0;Used (Fair);No original box, no original papers;Men's watch/Unisex;14027.0;Item is in stock;Rectangular;461.5;;Plexiglass;Champagne;Black;Buckle;;;0;0;0;
Bovet;Manual winding;Silver;;1900.0;Used (Good);Original box, no original papers;;5385.0;Item is in stock;Rectangular;3975.0;;;;;;;;0;0;0;
Bovet;;Rose gold;Leather;;;No original box, no original papers;Men's watch/Unisex;31824.0;Item is in stock;;;;;;;;139.0;114.0;0;1;1;122.0
Bovet;Automatic;Steel;Rubber;;Used (Very good);No original box, no original papers;Men's watch/Unisex;10000.0;Item is in stock;Circular;830.5300000000001;;;Blue;Black;;;;0;0;0;
Bovet;Manual winding;;;;Used (Very good);Original box, original papers;Men's watch/Unisex;199000.0;Item is in stock;Circular;830.5300000000001;3.0;Sapphire crystal;;;Fold clasp;960.0;503.0;0;0;1;810.0
Bovet;Automatic;Rose gold;Leather;2013.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;94194.0;Item is in stock;Circular;830.5300000000001;;;Black;;Buckle;62.0;367.0;0;1;1;45.0
Breguet;Automatic;;;2000.0;;No original box, no original papers;;5000.0;Item is in stock;Circular;508.68;;;;;Fold clasp;0.0;173.0;0;0;1;
Breguet;;Yellow gold;Leather;;Used (Very good);No original box, no original papers;;14000.0;Item is in stock;Circular;517.193325;;Sapphire crystal;Silver;Brown;Buckle;347.0;114.0;1;1;1;205.0
Breguet;Automatic;Yellow gold;Leather;2002.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;23777.0;Item is in stock;Circular;508.68;3.0;Sapphire crystal;White;Black;Fold clasp;84.0;94.0;1;1;1;63.0
Breguet;Automatic;Rose gold;Crocodile skin;2020.0;Used (Very good);Original box, original papers;Men's watch/Unisex;25800.0;Item is in stock;Circular;628.0;3.0;Sapphire crystal;Silver;Brown;Buckle;384.0;497.0;1;1;1;235.0
Breguet;Manual winding;Yellow gold;Leather;;Used (Very good);Original box, no original papers;Men's watch/Unisex;8000.0;Item is in stock;Circular;414.578125;;;Silver (solid);;;1611.0;1685.0;1;1;1;1151.0
Breguet;Automatic;Rose gold;Crocodile skin;2023.0;New;Original box, original papers;Men's watch/Unisex;16560.0;Item is in stock;Circular;566.77;3.0;Sapphire crystal;Silver;Brown;Buckle;181.0;1750.0;1;1;1;136.0
Breguet;Automatic;White gold;Crocodile skin;2023.0;New;Original box, original papers;Men's watch/Unisex;21280.0;Item is in stock;Circular;566.77;3.0;Sapphire crystal;Blue;Blue;Buckle;181.0;1750.0;1;1;1;136.0
Breguet;Automatic;White gold;Crocodile skin;;Like new & unworn;Original box, original papers;Men's watch/Unisex;12300.0;Item is in stock;Circular;566.77;3.0;Sapphire crystal;Silver;Black;Buckle;327.0;578.0;0;0;1;212.0
Breguet;Manual winding;Yellow gold;Crocodile skin;;Like new & unworn;Original box, original papers;Men's watch/Unisex;11800.0;Item needs to be procured;Circular;453.73;;;Silver;Black;Buckle;327.0;578.0;0;0;1;212.0
Breguet;Manual winding;White gold;Crocodile skin;;Used (Very good);No original box, no original papers;Men's watch/Unisex;124500.0;Item is in stock;Circular;637.4553249999999;;Sapphire crystal;;Black;;258.0;523.0;0;0;1;204.0
Breguet;Automatic;Yellow gold;Leather;2012.0;Used (Good);Original box, original papers;Men's watch/Unisex;9325.0;Item is in stock;Circular;628.0;3.0;Sapphire crystal;Silver;Black;Buckle;413.0;67.0;1;1;1;311.0
;;;;;;;;;;;;;;;;;;;0;0;0;
Breguet;Automatic;White gold;Crocodile skin;;Used (Very good);Original papers, no original box;Men's watch/Unisex;17999.0;Item needs to be procured;Circular;596.9925000000001;3.0;Sapphire crystal;Silver;Black;Fold clasp;12.0;188.0;1;1;1;9.0
Breguet;Automatic;Yellow gold;Crocodile skin;1990.0;Used (Very good);Original box, original papers;Men's watch/Unisex;6354.0;Item is in stock;Circular;389.458125;;Sapphire crystal;Silver;Brown;Buckle;387.0;61.0;1;1;1;361.0
;;;;;;;;;;;;;;;;;;;0;0;0;
Breguet;Automatic;White gold;Crocodile skin;;Used (Very good);No original box, no original papers;Men's watch/Unisex;10000.0;Item is in stock;Circular;566.77;3.0;Sapphire crystal;Silver;Black;Buckle;1611.0;1685.0;1;1;1;1151.0
Breguet;Automatic;Platinum;Leather;;Used (Very good);Original box, original papers;Men's watch/Unisex;56900.0;Item is in stock;Circular;725.7325000000001;;;Silver;Black;Fold clasp;368.0;599.0;1;1;1;273.0
Breguet;Automatic;Platinum;Crocodile skin;;Used (Very good);No original box, no original papers;Men's watch/Unisex;54000.0;Item needs to be procured;Circular;725.7325000000001;3.0;Sapphire crystal;Silver (solid);Black;;2.0;125.0;0;0;1;
Breguet;Automatic;White gold;Leather;2005.0;Used (Very good);Original box, original papers;Men's watch/Unisex;26550.0;Item is in stock;Circular;508.68;;Sapphire crystal;Silver;Black;Fold clasp, hidden;1157.0;339.0;1;1;1;860.0
Breguet;Automatic;White gold;Crocodile skin;2018.0;Used (Very good);Original box, original papers;Men's watch/Unisex;16700.0;Item is in stock;Circular;596.9925000000001;3.0;Sapphire crystal;Silver;Black;Fold clasp;1157.0;339.0;1;1;1;860.0
Breguet;Automatic;White gold;Leather;2019.0;Used (Very good);Original box, original papers;Men's watch/Unisex;39950.0;Item is in stock;Circular;596.9925000000001;;;Silver;Blue;Fold clasp;420.0;328.0;0;1;1;270.0
Breguet;Manual winding;Rose gold;Leather;2010.0;Used (Very good);Original papers, no original box;Men's watch/Unisex;49995.0;Item is in stock;Circular;692.37;;Sapphire crystal;Silver;;Fold clasp;420.0;328.0;0;1;1;270.0
Breguet;Automatic;Steel;Rubber;2014.0;Used (Very good);Original box, original papers;Men's watch/Unisex;15600.0;Item is in stock;Circular;692.37;10.0;Sapphire crystal;Silver;Black;Fold clasp;119.0;77.0;1;1;1;93.0
Breguet;;Yellow gold;Crocodile skin;;Used (Very good);No original box, no original papers;Women's watch;;Item needs to be procured;Circular;480.8125;3.0;Sapphire crystal;Silver;Brown;Double-fold clasp;12.0;188.0;1;1;1;9.0
Breguet;Automatic;Titanium;Rubber;2020.0;Used (Very good);Original box, original papers;;17900.0;Item is in stock;Circular;628.0;;;;;;134.0;401.0;1;1;1;99.0
Breguet;Automatic;White gold;White gold;;Used (Very good);Original papers, no original box;Men's watch/Unisex;36500.0;Item is in stock;Circular;794.8125;;Sapphire crystal;White;;Fold clasp;26.0;84.0;1;1;1;21.0
Breguet;Automatic;Rose gold;Crocodile skin;2021.0;New;Original box, original papers;Women's watch;26800.0;Item is in stock;Circular;448.4077;5.0;Sapphire crystal;Mother of pearl;White;;327.0;578.0;0;0;1;212.0
Breguet;Automatic;;;2010.0;Used (Good);Original papers, no original box;Men's watch/Unisex;;Item needs to be procured;Circular;566.77;3.0;Sapphire crystal;Silver;Black;Fold clasp;12.0;188.0;1;1;1;9.0
Breguet;Automatic;White gold;White gold;2010.0;Used (Very good);Original box, original papers;Men's watch/Unisex;45000.0;Item is in stock;Circular;794.8125;;;Silver;;Fold clasp;1611.0;1685.0;1;1;1;1151.0
Breguet;Automatic;Rose gold;Rubber;2013.0;Used (Very good);Original box, original papers;Men's watch/Unisex;34000.0;Item is in stock;Circular;794.8125;30.0;Sapphire crystal;Black;Black;Fold clasp;46.0;40.0;0;1;1;48.0
Breguet;;Yellow gold;Leather;;Used (Very good);No original box, no original papers;;90800.0;Item is in stock;;;;;Silver;;;258.0;523.0;0;0;1;204.0
Breguet;Automatic;Steel;Calf skin;2024.0;New;Original box, original papers;Men's watch/Unisex;16500.0;Item is in stock;Circular;692.37;10.0;Sapphire crystal;Black;Brown;Buckle;1289.0;1385.0;1;1;1;802.0
Breguet;Automatic;Rose gold;Crocodile skin;2024.0;New;Original box, original papers;Men's watch/Unisex;;Item available on request;Circular;628.0;10.0;Sapphire crystal;Grey;Black;Fold clasp;1289.0;1385.0;1;1;1;802.0
Breguet;Automatic;Rose gold;Silicon;2024.0;New;Original box, original papers;Men's watch/Unisex;27500.0;Item available on request;;;;;Grey;;;1289.0;1385.0;1;1;1;802.0
Breguet;Automatic;Rose gold;Crocodile skin;2024.0;New;Original box, original papers;Men's watch/Unisex;29900.0;Item available on request;Circular;628.0;3.0;Sapphire crystal;Silver;Brown;Buckle;1289.0;1385.0;1;1;1;802.0
Breguet;Automatic;White gold;Crocodile skin;2024.0;New;Original box, original papers;Men's watch/Unisex;;Item available on request;Circular;628.0;3.0;Sapphire crystal;Skeletonized;Black;Buckle;1289.0;1385.0;1;1;1;802.0
