Brand;Movement;Case material;Bracelet material;Year of production;Condition;Scope of delivery;Gender;Price;Availability;Shape;Face Area;Crystal;Dial;Bracelet color;Watches Sold by the Seller;Active listing of the seller;Fast Shipper;Trusted Seller;Punctuality;Seller Reviews;age;is_modern;price_log;seller_reputation_score;scope_score;price_anomaly_low;price_anomaly_high;seller_consistent
Bremont;Automatic;Steel;Textile;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;2917.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Blue;114.0;137.0;0;1;1;92.0;4.0;1;7.978653729082731;0.6666666666666666;3;0;0;0
Chaumet;Quartz;Steel;Steel;2010.0;Like new & unworn;Original box, no original papers;Men's watch/Unisex;3293.0;Item needs to be procured;Circular;181.433125;Sapphire crystal;Silver;Black;439.0;2394.0;0;1;1;320.0;16.0;1;8.099857910737585;0.6666666666666666;2;0;0;0
Piaget;Automatic;Yellow gold;Yellow gold;1985.0;Used (Good);No original box, no original papers;Women's watch;15999.0;Item is in stock;Circular;692.37;Sapphire crystal;Blue;Black;295.0;39.0;1;1;1;230.0;41.0;0;9.680344001221918;1.0;0;0;0;1
Steinhart;Automatic;Steel;Steel;2016.0;Used (Good);No original box, no original papers;Men's watch/Unisex;324.0;Item is in stock;Rectangular;546.0;Sapphire crystal;Black;Steel;580.0;419.0;0;0;0;448.0;10.0;1;5.783825182329737;0.0;0;0;0;1
Eberhard & Co.;Automatic;Steel;Leather;2016.0;Used (Very good);Original box, original papers;Men's watch/Unisex;3446.0;Item is in stock;Circular;659.7925;Sapphire crystal;Black;Black;75.0;20.0;1;1;1;62.0;10.0;1;8.145259566516865;1.0;3;0;0;1
Breguet;Automatic;White gold;Crocodile skin;2024.0;New;Original box, original papers;Men's watch/Unisex;35000.0;Item is in stock;Circular;628.0;Sapphire crystal;Blue;Blue;1604.0;1677.0;1;1;1;1147.0;2.0;1;10.463131911491967;1.0;3;0;0;0
Michael Kors;Quartz;Steel;Steel;2018.0;Used (Good);No original box, no original papers;Men's watch/Unisex;128.0;Item is in stock;Rectangular;559.0;Sapphire crystal;Black;Silver;580.0;419.0;0;0;0;448.0;8.0;1;4.859812404361672;0.0;0;0;0;1
Glycine;Automatic;Steel;Leather;2000.0;Used (Good);No original box, no original papers;Men's watch/Unisex;485.0;Item is in stock;Circular;628.0;Sapphire crystal;Black;Black;580.0;419.0;0;0;0;448.0;26.0;1;6.186208623900494;0.0;0;0;0;1
Sandoz;Quartz;Steel;Leather;2012.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;681.0;Item is in stock;Rectangular;445.0;Sapphire crystal;Black;Black;580.0;419.0;0;0;0;448.0;14.0;1;6.525029657843462;0.0;0;0;0;1
Michel Herbelin;Automatic;Steel;Leather;2024.0;New;Original box, original papers;Women's watch;593.0;Item needs to be procured;Circular;692.37;Sapphire crystal;Black;Black;2328.0;2505.0;0;1;1;1742.0;2.0;1;6.386879319362645;0.6666666666666666;3;0;0;0
